State fips,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
1,0.081567164,0.081089552,0.14661194,0.215343284,0.475313433
2,0.055592593,0.065037037,0.088814815,0.328888889,0.461555556
4,0.049666667,0.0532,0.094666667,0.147333333,0.655
5,0.09092,0.087253333,0.13836,0.220626667,0.462866667
6,0.032310345,0.030724138,0.063689655,0.158603448,0.714637931
8,0.03915625,0.0719375,0.097265625,0.244328125,0.5474375
9,0.0175,0.023,0.053625,0.126375,0.7795
10,0.019333333,0.006666667,0.060666667,0.095666667,0.817666667
11,0.012,0.013,0.069,0.164,0.743
12,0.055253731,0.057522388,0.110343284,0.194298507,0.582552239
13,0.083333333,0.078377358,0.126144654,0.199792453,0.512314465
15,0.01375,0.02025,0.03375,0.12575,0.80625
16,0.103772727,0.144795455,0.144772727,0.219840909,0.386840909
17,0.07227451,0.071313725,0.126872549,0.219490196,0.510078431
18,0.086097826,0.096434783,0.130423913,0.236923913,0.450217391
19,0.104323232,0.117323232,0.167424242,0.214707071,0.39620202
20,0.116885714,0.116942857,0.151114286,0.219466667,0.395590476
21,0.086333333,0.083125,0.131091667,0.207991667,0.4914
22,0.082328125,0.072453125,0.11440625,0.20715625,0.52365625
23,0.0475,0.0589375,0.1000625,0.20125,0.592375
24,0.022916667,0.020916667,0.051541667,0.161833333,0.74275
25,0.0195,0.011785714,0.040142857,0.131142857,0.797285714
26,0.044795181,0.06126506,0.100289157,0.218879518,0.574807229
27,0.103195402,0.122333333,0.155701149,0.243126437,0.375528736
28,0.067817073,0.084487805,0.119536585,0.201231707,0.526878049
29,0.13406087,0.127165217,0.151652174,0.21053913,0.376556522
30,0.150857143,0.171589286,0.144892857,0.215142857,0.317535714
31,0.123806452,0.117709677,0.145752688,0.261311828,0.351451613
32,0.029294118,0.041823529,0.106764706,0.193588235,0.628647059
33,0.0551,0.0576,0.0735,0.1876,0.6263
34,0.022904762,0.021238095,0.049428571,0.157904762,0.748428571
35,0.042181818,0.049636364,0.078606061,0.15969697,0.67
36,0.02212069,0.022534483,0.048689655,0.134413793,0.77212069
37,0.05378,0.04656,0.09803,0.19832,0.60331
38,0.180981132,0.164018868,0.145924528,0.251811321,0.257245283
39,0.091454545,0.101704545,0.150272727,0.217681818,0.438852273
40,0.100363636,0.120792208,0.166636364,0.226064935,0.386103896
41,0.036666667,0.049,0.085611111,0.188194444,0.640416667
42,0.035835821,0.03538806,0.086253731,0.170656716,0.671970149
44,0.0122,0.0096,0.04,0.136,0.802
45,0.097130435,0.070543478,0.109282609,0.19026087,0.532826087
46,0.148318182,0.105060606,0.166681818,0.219090909,0.360939394
47,0.110042105,0.101357895,0.151957895,0.209526316,0.427189474
48,0.051664032,0.059727273,0.097256917,0.188537549,0.602794466
49,0.093068966,0.096965517,0.118275862,0.271862069,0.419758621
50,0.045357143,0.087785714,0.069285714,0.137642857,0.66
51,0.04187218,0.046428571,0.096022556,0.177842105,0.637827068
53,0.037897436,0.038871795,0.070666667,0.182410256,0.669871795
54,0.086072727,0.077072727,0.136054545,0.218436364,0.482418182
55,0.086833333,0.102041667,0.145361111,0.232319444,0.4335
56,0.151608696,0.157,0.123,0.232,0.336434783
