State,Census,Estimates Base,State fips
Alabama,4779736,4780125,1
Alaska,415593,415648,2
Arizona,6392017,6392288,4
Arkansas,2915918,2916031,5
California,37253956,37254519,6
Colorado,5029196,5029319,8
Connecticut,3574097,3574147,9
Delaware,897934,897937,10
District of Columbia,601723,601767,11
Florida,18801310,18804564,12
Georgia,9687653,9688729,13
Guam,1360211,1360217,66
Hawaii,1567582,1567657,15
Illinois,12830632,12831572,17
Indiana,6483802,6484051,18
Iowa,3046355,3046871,19
Kansas,2853118,2853123,20
Kentucky,4339367,4339333,21
Louisiana,4533372,4533487,22
Maine,1328361,1328358,23
Maryland,5773552,5773794,24
Massachusetts,6547629,6547785,25
Michigan,9883640,9884116,26
Minnesota,5303925,5303927,27
Mississippi,2967297,2968130,28
Missouri,5970782,5970803,29
Montana,989415,989407,30
Nebraska,1826341,1826305,31
Nevada,2700551,2700677,32
New Hampshire,1316470,1316462,33
New Jersey,8791894,8791978,34
New Mexico,1849946,1849982,35
New York,12788842,12789494,36
North Carolina,9535483,9535751,37
North Dakota,672591,672576,38
Ohio,11536504,11536751,39
Oklahoma,3751351,3751582,40
Oregon,3831074,3831079,41
Pennsylvania,12702379,12702868,42
Puerto Rico,1052567,1052964,72
South Carolina,4625364,4625366,45
South Dakota,814180,814198,46
Tennessee,6346105,6346276,47
Texas,25145479,25146009,48
Utah,2763885,2763891,49
Vermont,625741,625737,50
Virginia,7994802,8001049,51
Washington,6724540,6724540,53
West Virginia,1852994,1853018,54
Wisconsin,5686986,5687285,55
Wyoming,563626,563775,56
